claim_id,claim_category,claim_text,value,source_file,source_field_or_table,verification_method,verified
C34,error_analysis,M3 residual autocorrelation at 1-hour lag,0.903292435945437,results/error_analysis/residual_autocorrelation.csv,M3.lag_1.pearson_r,literal_lookup,True
C35,error_analysis,M3 residual autocorrelation at 6-hour lag,0.591595248837292,results/error_analysis/residual_autocorrelation.csv,M3.lag_6.pearson_r,literal_lookup,True
C36,error_analysis,M3 residual autocorrelation at 12-hour lag,0.438265807478671,results/error_analysis/residual_autocorrelation.csv,M3.lag_12.pearson_r,literal_lookup,True
C37,error_analysis,M3 residual autocorrelation at 24-hour lag,0.344170197256534,results/error_analysis/residual_autocorrelation.csv,M3.lag_24.pearson_r,literal_lookup,True
C38,error_analysis,M3 residual autocorrelation at 48-hour lag,0.192623363135009,results/error_analysis/residual_autocorrelation.csv,M3.lag_48.pearson_r,literal_lookup,True
C39,error_analysis,M3 residual autocorrelation at 168-hour lag,0.103198942008888,results/error_analysis/residual_autocorrelation.csv,M3.lag_168.pearson_r,literal_lookup,True
C40,error_analysis,M1 negative predictions on the final test,466,results/error_analysis/prediction_bias_summary.csv,M1.n_negative_predictions,literal_lookup,True
C41,error_analysis,"Row-wise absolute-error wins, M3 over M2",4623,results/error_analysis/pairwise_error_wins.csv,M2_vs_M3.model_b_lower_absolute_error_count,literal_lookup,True
C42,status,Final test status,evaluated,artifacts/final_evaluation_manifest.json,final_test_status,literal_lookup,True
C43,status,Model changes after the final test,none,artifacts/final_evaluation_manifest.json,post_test_model_changes,literal_lookup,True
